method	R	N	kappa	T	mean_error	standard_error
RANDOM_UNIFORM	4	4	1	100	7.171741e-02	2.458739e-03
RANDOM_NORMAL	4	4	1	100	9.694868e-02	3.737014e-03
CONSTANT	8	4	256	100	3.035108e-01	1.494000e-02
CONSTANT	8	4	16	100	2.248004e-01	7.131762e-03
RANDOM_NORMAL	16	4	1	100	7.445273e-04	7.506903e-05
BINARY	16	4	16	100	1.309789e-03	1.031121e-04
BINARY	16	4	256	100	3.248968e-02	1.612923e-03
RANDOM_UNIFORM	8	4	256	100	7.391410e-02	5.732079e-03
RANDOM_UNIFORM	16	4	1	100	2.160068e-03	2.289653e-04
BINARY	8	4	1	100	2.166335e-03	4.561690e-05
RANDOM_UNIFORM	8	4	16	100	4.462833e-02	3.218409e-03
CONSTANT	4	4	1	100	1.549467e-01	2.397585e-03
RANDOM_UNIFORM	2	4	1	100	2.695912e-01	6.733914e-03
CONSTANT	2	4	256	100	5.557982e-01	1.164196e-02
CONSTANT	2	4	16	100	4.584953e-01	1.294962e-02
CONSTANT	16	4	1	100	3.423428e-02	6.085025e-04
BINARY	2	4	1	100	1.770701e-01	3.821276e-03
RANDOM_NORMAL	4	4	256	100	3.714469e-01	1.670219e-02
RANDOM_NORMAL	2	4	16	100	4.698405e-01	2.416148e-02
RANDOM_NORMAL	4	4	16	100	1.536808e-01	5.418121e-03
RANDOM_NORMAL	8	4	256	100	1.483516e-01	6.451213e-03
RANDOM_UNIFORM	4	4	256	100	3.282330e-01	1.521041e-02
BINARY	4	4	1	100	3.570616e-02	7.937144e-04
RANDOM_NORMAL	8	4	16	100	4.319207e-02	4.232571e-03
RANDOM_UNIFORM	4	4	16	100	1.895841e-01	9.438437e-03
RANDOM_NORMAL	16	4	256	100	1.569816e-02	1.052570e-03
RANDOM_NORMAL	2	4	256	100	4.470158e-01	1.835869e-02
CONSTANT	8	4	1	100	6.813551e-02	9.213312e-04
BINARY	8	4	256	100	5.534525e-02	3.022118e-03
BINARY	8	4	16	100	6.953893e-03	1.989771e-04
RANDOM_UNIFORM	16	4	256	100	2.710178e-02	2.151500e-03
RANDOM_UNIFORM	16	4	16	100	3.465269e-03	2.984454e-04
RANDOM_NORMAL	8	4	1	100	6.958153e-03	2.700060e-04
CONSTANT	4	4	256	100	3.471420e-01	1.570709e-02
CONSTANT	4	4	16	100	2.861270e-01	8.823724e-03
RANDOM_UNIFORM	2	4	256	100	6.620524e-01	2.438925e-02
RANDOM_UNIFORM	2	4	16	100	6.211164e-01	1.567555e-02
BINARY	16	4	1	100	1.030843e-04	3.258533e-06
RANDOM_UNIFORM	8	4	1	100	9.110704e-03	5.044418e-04
RANDOM_NORMAL	16	4	16	100	3.595354e-03	4.190579e-04
CONSTANT	2	4	1	100	2.985107e-01	4.957907e-03
