METHOD	p1	p2
RANDOM_UNIFORM	-1.211147e-01	-8.783041e-04
RANDOM_UNIFORM	-9.850591e-02	8.221738e-03
RANDOM_UNIFORM	-8.260918e-02	2.742306e-02
RANDOM_UNIFORM	-6.425467e-02	3.552176e-02
RANDOM_UNIFORM	-4.850667e-02	4.918013e-02
RANDOM_UNIFORM	-3.159310e-02	6.254135e-02
RANDOM_UNIFORM	-1.748687e-02	7.437408e-02
RANDOM_UNIFORM	-4.292451e-03	8.838504e-02
RANDOM_UNIFORM	-1.292611e-01	6.388504e-04
RANDOM_UNIFORM	-1.088104e-01	1.777925e-02
RANDOM_UNIFORM	-8.922762e-02	2.070342e-02
RANDOM_UNIFORM	-7.241190e-02	3.750445e-02
RANDOM_UNIFORM	-5.239067e-02	4.846699e-02
RANDOM_UNIFORM	-3.598989e-02	6.153738e-02
RANDOM_UNIFORM	-2.216175e-02	7.518430e-02
RANDOM_UNIFORM	-9.637399e-03	8.815554e-02
RANDOM_UNIFORM	-1.196854e-01	-1.565163e-03
RANDOM_UNIFORM	-1.047757e-01	8.117521e-03
RANDOM_UNIFORM	-9.040553e-02	2.662175e-02
RANDOM_UNIFORM	-7.656566e-02	3.465625e-02
RANDOM_UNIFORM	-5.810726e-02	4.948999e-02
RANDOM_UNIFORM	-3.929441e-02	6.022028e-02
RANDOM_UNIFORM	-2.360323e-02	7.449209e-02
RANDOM_UNIFORM	-1.074753e-02	8.826641e-02
RANDOM_UNIFORM	-1.181934e-01	5.022814e-02
RANDOM_UNIFORM	-7.366108e-02	4.658987e-02
RANDOM_UNIFORM	-5.624669e-02	4.352080e-02
RANDOM_UNIFORM	-3.262924e-02	5.147598e-02
RANDOM_UNIFORM	-9.457980e-03	6.442463e-02
RANDOM_UNIFORM	1.300836e-02	7.623542e-02
RANDOM_UNIFORM	2.539908e-02	8.683233e-02
RANDOM_UNIFORM	4.097861e-02	1.035006e-01
RANDOM_UNIFORM	-9.500122e-02	3.856563e-02
RANDOM_UNIFORM	-8.564229e-02	2.910236e-02
RANDOM_UNIFORM	-6.851069e-02	5.269193e-02
RANDOM_UNIFORM	-4.336340e-02	5.761672e-02
RANDOM_UNIFORM	-1.676491e-02	5.895218e-02
RANDOM_UNIFORM	3.274410e-03	7.327545e-02
RANDOM_UNIFORM	1.945610e-02	8.854245e-02
RANDOM_UNIFORM	3.489691e-02	1.045702e-01
RANDOM_UNIFORM	-9.694264e-02	2.547999e-02
RANDOM_UNIFORM	-8.400188e-02	4.054679e-02
RANDOM_UNIFORM	-6.559859e-02	5.117153e-02
RANDOM_UNIFORM	-4.830931e-02	5.239339e-02
RANDOM_UNIFORM	-2.538337e-02	6.485321e-02
RANDOM_UNIFORM	-1.453191e-03	7.656176e-02
RANDOM_UNIFORM	1.894992e-02	8.811705e-02
RANDOM_UNIFORM	3.314638e-02	1.029830e-01
RANDOM_UNIFORM	-7.726407e-02	4.708277e-02
RANDOM_UNIFORM	-3.776174e-02	4.476658e-02
RANDOM_UNIFORM	-9.578301e-03	4.400290e-02
RANDOM_UNIFORM	2.928487e-03	5.176230e-02
RANDOM_UNIFORM	1.392720e-02	6.337895e-02
RANDOM_UNIFORM	2.893330e-02	7.572804e-02
RANDOM_UNIFORM	3.867848e-02	9.313909e-02
RANDOM_UNIFORM	5.148234e-02	1.063636e-01
RANDOM_UNIFORM	-7.233059e-02	4.230494e-02
RANDOM_UNIFORM	-4.452111e-02	4.421135e-02
RANDOM_UNIFORM	-1.509120e-02	5.273321e-02
RANDOM_UNIFORM	5.906081e-03	5.582999e-02
RANDOM_UNIFORM	1.284512e-02	6.234327e-02
RANDOM_UNIFORM	2.353590e-02	7.691679e-02
RANDOM_UNIFORM	3.662271e-02	9.088915e-02
RANDOM_UNIFORM	4.765894e-02	1.061452e-01
RANDOM_UNIFORM	-6.233283e-02	2.955344e-02
RANDOM_UNIFORM	-5.780923e-02	4.506924e-02
RANDOM_UNIFORM	-2.384609e-02	4.471002e-02
RANDOM_UNIFORM	-8.992512e-03	5.862474e-02
RANDOM_UNIFORM	7.699560e-03	6.412586e-02
RANDOM_UNIFORM	2.102445e-02	7.981148e-02
RANDOM_UNIFORM	3.114949e-02	9.154716e-02
RANDOM_UNIFORM	4.767483e-02	1.065977e-01
RANDOM_NORMAL	-1.354605e-01	9.014190e-03
RANDOM_NORMAL	-1.152349e-01	2.027700e-02
RANDOM_NORMAL	-9.145397e-02	2.941616e-02
RANDOM_NORMAL	-6.659200e-02	4.058996e-02
RANDOM_NORMAL	-5.041455e-02	5.108249e-02
RANDOM_NORMAL	-3.479682e-02	6.410248e-02
RANDOM_NORMAL	-2.020629e-02	7.677119e-02
RANDOM_NORMAL	-5.975695e-03	8.955506e-02
RANDOM_NORMAL	-1.332909e-01	6.388600e-03
RANDOM_NORMAL	-1.161660e-01	1.945539e-02
RANDOM_NORMAL	-1.051166e-01	3.552219e-02
RANDOM_NORMAL	-7.648589e-02	3.747145e-02
RANDOM_NORMAL	-5.797317e-02	4.858207e-02
RANDOM_NORMAL	-4.016585e-02	6.515455e-02
RANDOM_NORMAL	-2.567263e-02	7.772138e-02
RANDOM_NORMAL	-1.127047e-02	9.048059e-02
RANDOM_NORMAL	-1.262411e-01	4.885638e-03
RANDOM_NORMAL	-1.161758e-01	1.848787e-02
RANDOM_NORMAL	-1.028291e-01	3.613961e-02
RANDOM_NORMAL	-7.873615e-02	4.274687e-02
RANDOM_NORMAL	-5.954050e-02	5.416585e-02
RANDOM_NORMAL	-4.345010e-02	6.344736e-02
RANDOM_NORMAL	-2.771072e-02	7.769921e-02
RANDOM_NORMAL	-1.258141e-02	9.028254e-02
RANDOM_NORMAL	-1.032615e-01	3.506244e-02
RANDOM_NORMAL	-7.426296e-02	3.589826e-02
RANDOM_NORMAL	-6.036054e-02	4.825645e-02
RANDOM_NORMAL	-2.943545e-02	5.078580e-02
RANDOM_NORMAL	-4.669679e-03	6.211613e-02
RANDOM_NORMAL	1.033684e-02	7.779843e-02
RANDOM_NORMAL	2.681305e-02	9.038640e-02
RANDOM_NORMAL	4.442201e-02	1.042638e-01
RANDOM_NORMAL	-1.132354e-01	3.259359e-02
RANDOM_NORMAL	-9.586441e-02	4.308757e-02
RANDOM_NORMAL	-7.344159e-02	4.923485e-02
RANDOM_NORMAL	-4.387840e-02	5.918006e-02
RANDOM_NORMAL	-1.902736e-02	6.613564e-02
RANDOM_NORMAL	7.546424e-03	7.518728e-02
RANDOM_NORMAL	2.617541e-02	8.861921e-02
RANDOM_NORMAL	4.282276e-02	1.034557e-01
RANDOM_NORMAL	-1.183613e-01	4.726781e-02
RANDOM_NORMAL	-9.045451e-02	4.217897e-02
RANDOM_NORMAL	-6.937101e-02	5.536089e-02
RANDOM_NORMAL	-4.700715e-02	5.679607e-02
RANDOM_NORMAL	-2.360408e-02	6.421851e-02
RANDOM_NORMAL	1.266434e-04	7.840559e-02
RANDOM_NORMAL	2.231353e-02	8.948380e-02
RANDOM_NORMAL	3.892915e-02	1.047557e-01
RANDOM_NORMAL	-6.850600e-02	3.796330e-02
