method	R	probability	mean_error
RANDOM_UNIFORM	4	0.000000e+00	3.030496e-02
RANDOM_UNIFORM	4	1.001001e-03	3.030496e-02
RANDOM_UNIFORM	4	2.002002e-03	3.030496e-02
RANDOM_UNIFORM	4	3.003003e-03	3.030496e-02
RANDOM_UNIFORM	4	4.004004e-03	3.030496e-02
RANDOM_UNIFORM	4	5.005005e-03	3.030496e-02
RANDOM_UNIFORM	4	6.006006e-03	3.030496e-02
RANDOM_UNIFORM	4	7.007007e-03	3.030496e-02
RANDOM_UNIFORM	4	8.008008e-03	3.030496e-02
RANDOM_UNIFORM	4	9.009009e-03	3.030496e-02
RANDOM_UNIFORM	4	1.001001e-02	3.030496e-02
RANDOM_UNIFORM	4	1.101101e-02	3.030496e-02
RANDOM_UNIFORM	4	1.201201e-02	3.030496e-02
RANDOM_UNIFORM	4	1.301301e-02	3.030496e-02
RANDOM_UNIFORM	4	1.401401e-02	3.030496e-02
RANDOM_UNIFORM	4	1.501502e-02	3.030496e-02
RANDOM_UNIFORM	4	1.601602e-02	3.030496e-02
RANDOM_UNIFORM	4	1.701702e-02	3.030496e-02
RANDOM_UNIFORM	4	1.801802e-02	3.030496e-02
RANDOM_UNIFORM	4	1.901902e-02	3.030496e-02
RANDOM_UNIFORM	4	2.002002e-02	3.030496e-02
RANDOM_UNIFORM	4	2.102102e-02	3.030496e-02
RANDOM_UNIFORM	4	2.202202e-02	3.030496e-02
RANDOM_UNIFORM	4	2.302302e-02	3.030496e-02
RANDOM_UNIFORM	4	2.402402e-02	3.030496e-02
RANDOM_UNIFORM	4	2.502503e-02	3.030496e-02
RANDOM_UNIFORM	4	2.602603e-02	3.030496e-02
RANDOM_UNIFORM	4	2.702703e-02	3.030496e-02
RANDOM_UNIFORM	4	2.802803e-02	3.030496e-02
RANDOM_UNIFORM	4	2.902903e-02	3.030496e-02
RANDOM_UNIFORM	4	3.003003e-02	3.030496e-02
RANDOM_UNIFORM	4	3.103103e-02	3.030496e-02
RANDOM_UNIFORM	4	3.203203e-02	3.030496e-02
RANDOM_UNIFORM	4	3.303303e-02	3.030496e-02
RANDOM_UNIFORM	4	3.403403e-02	3.030496e-02
RANDOM_UNIFORM	4	3.503504e-02	3.030496e-02
RANDOM_UNIFORM	4	3.603604e-02	3.030496e-02
RANDOM_UNIFORM	4	3.703704e-02	3.030496e-02
RANDOM_UNIFORM	4	3.803804e-02	3.030496e-02
RANDOM_UNIFORM	4	3.903904e-02	3.030496e-02
RANDOM_UNIFORM	4	4.004004e-02	3.030496e-02
RANDOM_UNIFORM	4	4.104104e-02	3.030496e-02
RANDOM_UNIFORM	4	4.204204e-02	3.030496e-02
RANDOM_UNIFORM	4	4.304304e-02	3.030496e-02
RANDOM_UNIFORM	4	4.404404e-02	3.030496e-02
RANDOM_UNIFORM	4	4.504505e-02	3.030496e-02
RANDOM_UNIFORM	4	4.604605e-02	3.030496e-02
RANDOM_UNIFORM	4	4.704705e-02	3.030496e-02
RANDOM_UNIFORM	4	4.804805e-02	3.030496e-02
RANDOM_UNIFORM	4	4.904905e-02	3.030496e-02
RANDOM_UNIFORM	4	5.005005e-02	3.030496e-02
RANDOM_UNIFORM	4	5.105105e-02	3.030496e-02
RANDOM_UNIFORM	4	5.205205e-02	3.030496e-02
RANDOM_UNIFORM	4	5.305305e-02	3.030496e-02
RANDOM_UNIFORM	4	5.405405e-02	3.030496e-02
RANDOM_UNIFORM	4	5.505506e-02	3.030496e-02
RANDOM_UNIFORM	4	5.605606e-02	3.030496e-02
RANDOM_UNIFORM	4	5.705706e-02	3.030496e-02
RANDOM_UNIFORM	4	5.805806e-02	3.030496e-02
RANDOM_UNIFORM	4	5.905906e-02	3.030496e-02
RANDOM_UNIFORM	4	6.006006e-02	3.030496e-02
RANDOM_UNIFORM	4	6.106106e-02	3.030496e-02
RANDOM_UNIFORM	4	6.206206e-02	3.030496e-02
RANDOM_UNIFORM	4	6.306306e-02	3.030496e-02
RANDOM_UNIFORM	4	6.406406e-02	3.030496e-02
RANDOM_UNIFORM	4	6.506507e-02	3.030496e-02
RANDOM_UNIFORM	4	6.606607e-02	3.030496e-02
RANDOM_UNIFORM	4	6.706707e-02	3.030496e-02
RANDOM_UNIFORM	4	6.806807e-02	3.030496e-02
RANDOM_UNIFORM	4	6.906907e-02	3.030496e-02
RANDOM_UNIFORM	4	7.007007e-02	3.030496e-02
RANDOM_UNIFORM	4	7.107107e-02	3.030496e-02
RANDOM_UNIFORM	4	7.207207e-02	3.030496e-02
RANDOM_UNIFORM	4	7.307307e-02	3.030496e-02
RANDOM_UNIFORM	4	7.407407e-02	3.030496e-02
RANDOM_UNIFORM	4	7.507508e-02	3.030496e-02
RANDOM_UNIFORM	4	7.607608e-02	3.030496e-02
RANDOM_UNIFORM	4	7.707708e-02	3.030499e-02
RANDOM_UNIFORM	4	7.807808e-02	3.030562e-02
RANDOM_UNIFORM	4	7.907908e-02	3.030803e-02
RANDOM_UNIFORM	4	8.008008e-02	3.031368e-02
RANDOM_UNIFORM	4	8.108108e-02	3.032409e-02
RANDOM_UNIFORM	4	8.208208e-02	3.034157e-02
RANDOM_UNIFORM	4	8.308308e-02	3.036427e-02
RANDOM_UNIFORM	4	8.408408e-02	3.039319e-02
RANDOM_UNIFORM	4	8.508509e-02	3.043199e-02
RANDOM_UNIFORM	4	8.608609e-02	3.048642e-02
RANDOM_UNIFORM	4	8.708709e-02	3.056074e-02
RANDOM_UNIFORM	4	8.808809e-02	3.065331e-02
RANDOM_UNIFORM	4	8.908909e-02	3.076648e-02
RANDOM_UNIFORM	4	9.009009e-02	3.090401e-02
RANDOM_UNIFORM	4	9.109109e-02	3.105199e-02
RANDOM_UNIFORM	4	9.209209e-02	3.121452e-02
RANDOM_UNIFORM	4	9.309309e-02	3.138805e-02
RANDOM_UNIFORM	4	9.409409e-02	3.157008e-02
RANDOM_UNIFORM	4	9.509510e-02	3.176282e-02
RANDOM_UNIFORM	4	9.609610e-02	3.196825e-02
RANDOM_UNIFORM	4	9.709710e-02	3.218365e-02
RANDOM_UNIFORM	4	9.809810e-02	3.240824e-02
RANDOM_UNIFORM	4	9.909910e-02	3.264329e-02
RANDOM_UNIFORM	4	1.001001e-01	3.288651e-02
RANDOM_UNIFORM	4	1.011011e-01	3.313712e-02
RANDOM_UNIFORM	4	1.021021e-01	3.339229e-02
RANDOM_UNIFORM	4	1.031031e-01	3.365166e-02
RANDOM_UNIFORM	4	1.041041e-01	3.391414e-02
RANDOM_UNIFORM	4	1.051051e-01	3.417976e-02
RANDOM_UNIFORM	4	1.061061e-01	3.444886e-02
RANDOM_UNIFORM	4	1.071071e-01	3.472215e-02
RANDOM_UNIFORM	4	1.081081e-01	3.499933e-02
RANDOM_UNIFORM	4	1.091091e-01	3.527871e-02
RANDOM_UNIFORM	4	1.101101e-01	3.556120e-02
RANDOM_UNIFORM	4	1.111111e-01	3.584664e-02
RANDOM_UNIFORM	4	1.121121e-01	3.613554e-02
RANDOM_UNIFORM	4	1.131131e-01	3.642917e-02
RANDOM_UNIFORM	4	1.141141e-01	3.672713e-02
RANDOM_UNIFORM	4	1.151151e-01	3.702795e-02
RANDOM_UNIFORM	4	1.161161e-01	3.733013e-02
RANDOM_UNIFORM	4	1.171171e-01	3.763325e-02
RANDOM_UNIFORM	4	1.181181e-01	3.793710e-02
RANDOM_UNIFORM	4	1.191191e-01	3.824160e-02
RANDOM_UNIFORM	4	1.201201e-01	3.854678e-02
RANDOM_UNIFORM	4	1.211211e-01	3.885224e-02
RANDOM_UNIFORM	4	1.221221e-01	3.915791e-02
RANDOM_UNIFORM	4	1.231231e-01	3.946362e-02
RANDOM_UNIFORM	4	1.241241e-01	3.976935e-02
RANDOM_UNIFORM	4	1.251251e-01	4.007509e-02
RANDOM_UNIFORM	4	1.261261e-01	4.038088e-02
RANDOM_UNIFORM	4	1.271271e-01	4.068672e-02
RANDOM_UNIFORM	4	1.281281e-01	4.099257e-02
RANDOM_UNIFORM	4	1.291291e-01	4.129841e-02
RANDOM_UNIFORM	4	1.301301e-01	4.160425e-02
RANDOM_UNIFORM	4	1.311311e-01	4.191009e-02
RANDOM_UNIFORM	4	1.321321e-01	4.221594e-02
RANDOM_UNIFORM	4	1.331331e-01	4.252178e-02
RANDOM_UNIFORM	4	1.341341e-01	4.282762e-02
RANDOM_UNIFORM	4	1.351351e-01	4.313347e-02
RANDOM_UNIFORM	4	1.361361e-01	4.343931e-02
RANDOM_UNIFORM	4	1.371371e-01	4.374515e-02
RANDOM_UNIFORM	4	1.381381e-01	4.405100e-02
RANDOM_UNIFORM	4	1.391391e-01	4.435684e-02
RANDOM_UNIFORM	4	1.401401e-01	4.466268e-02
RANDOM_UNIFORM	4	1.411411e-01	4.496852e-02
RANDOM_UNIFORM	4	1.421421e-01	4.527437e-02
RANDOM_UNIFORM	4	1.431431e-01	4.558021e-02
RANDOM_UNIFORM	4	1.441441e-01	4.588605e-02
RANDOM_UNIFORM	4	1.451451e-01	4.619190e-02
RANDOM_UNIFORM	4	1.461461e-01	4.649774e-02
RANDOM_UNIFORM	4	1.471471e-01	4.680358e-02
RANDOM_UNIFORM	4	1.481481e-01	4.710943e-02
RANDOM_UNIFORM	4	1.491491e-01	4.741527e-02
RANDOM_UNIFORM	4	1.501502e-01	4.772111e-02
RANDOM_UNIFORM	4	1.511512e-01	4.802695e-02
RANDOM_UNIFORM	4	1.521522e-01	4.833280e-02
RANDOM_UNIFORM	4	1.531532e-01	4.863882e-02
RANDOM_UNIFORM	4	1.541542e-01	4.894509e-02
RANDOM_UNIFORM	4	1.551552e-01	4.925135e-02
RANDOM_UNIFORM	4	1.561562e-01	4.955718e-02
RANDOM_UNIFORM	4	1.571572e-01	4.986289e-02
RANDOM_UNIFORM	4	1.581582e-01	5.016974e-02
RANDOM_UNIFORM	4	1.591592e-01	5.047858e-02
RANDOM_UNIFORM	4	1.601602e-01	5.078712e-02
RANDOM_UNIFORM	4	1.611612e-01	5.109563e-02
RANDOM_UNIFORM	4	1.621622e-01	5.140552e-02
RANDOM_UNIFORM	4	1.631632e-01	5.171665e-02
RANDOM_UNIFORM	4	1.641642e-01	5.202888e-02
RANDOM_UNIFORM	4	1.651652e-01	5.234335e-02
RANDOM_UNIFORM	4	1.661662e-01	5.266131e-02
RANDOM_UNIFORM	4	1.671672e-01	5.298247e-02
RANDOM_UNIFORM	4	1.681682e-01	5.330726e-02
RANDOM_UNIFORM	4	1.691692e-01	5.363619e-02
RANDOM_UNIFORM	4	1.701702e-01	5.396749e-02
RANDOM_UNIFORM	4	1.711712e-01	5.430474e-02
RANDOM_UNIFORM	4	1.721722e-01	5.465094e-02
RANDOM_UNIFORM	4	1.731732e-01	5.500337e-02
RANDOM_UNIFORM	4	1.741742e-01	5.536081e-02
RANDOM_UNIFORM	4	1.751752e-01	5.572623e-02
RANDOM_UNIFORM	4	1.761762e-01	5.609793e-02
RANDOM_UNIFORM	4	1.771772e-01	5.647776e-02
RANDOM_UNIFORM	4	1.781782e-01	5.686558e-02
RANDOM_UNIFORM	4	1.791792e-01	5.726017e-02
RANDOM_UNIFORM	4	1.801802e-01	5.766314e-02
RANDOM_UNIFORM	4	1.811812e-01	5.807092e-02
RANDOM_UNIFORM	4	1.821822e-01	5.848360e-02
RANDOM_UNIFORM	4	1.831832e-01	5.890032e-02
RANDOM_UNIFORM	4	1.841842e-01	5.931801e-02
RANDOM_UNIFORM	4	1.851852e-01	5.973998e-02
RANDOM_UNIFORM	4	1.861862e-01	6.016447e-02
RANDOM_UNIFORM	4	1.871872e-01	6.059302e-02
RANDOM_UNIFORM	4	1.881882e-01	6.101881e-02
RANDOM_UNIFORM	4	1.891892e-01	6.144448e-02
RANDOM_UNIFORM	4	1.901902e-01	6.187109e-02
RANDOM_UNIFORM	4	1.911912e-01	6.229691e-02
RANDOM_UNIFORM	4	1.921922e-01	6.272200e-02
RANDOM_UNIFORM	4	1.931932e-01	6.315122e-02
RANDOM_UNIFORM	4	1.941942e-01	6.357945e-02
RANDOM_UNIFORM	4	1.951952e-01	6.400602e-02
RANDOM_UNIFORM	4	1.961962e-01	6.443319e-02
RANDOM_UNIFORM	4	1.971972e-01	6.486121e-02
RANDOM_UNIFORM	4	1.981982e-01	6.528965e-02
RANDOM_UNIFORM	4	1.991992e-01	6.571875e-02
